,filename,source_captions,target_captions,can_be_used_without_source,edit
0,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of a heavy metal song.,1,GENRE
1,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of an arcade game soundtrack.,1,GENRE
2,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of a techno song.,1,GENRE
3,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of Arabic music.,1,GENRE
4,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of hip hop music.,1,GENRE
5,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of an epic soundtrack.,1,GENRE
6,MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background.","A woman is singing while a guitar, bass and drums playing in the background.",0,VOICE
7,MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background.","A violin playing while a guitar, bass and drums playing in the background.",0,OTHER
8,MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background.","A guitar, bass and drums playing in the background.",0,OTHER
9,MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background.","A saxophone playing while a guitar, bass and drums playing in the background.",0,OTHER
10,MusicDelta_80sRock_MIX.wav,"A high quality recording of a rock song. a man singing while a guitar, bass and drums playing in the background, when later a woman joins.","A high quality recording of a rock song. a woman singing while a guitar, bass and drums playing in the background, when later a man joins.",0,VOICE
11,MusicDelta_80sRock_MIX.wav,"A high quality recording of a rock song. a man singing while a guitar, bass and drums playing in the background, when later a woman joins.","A high quality recording of a jazz song. a saxophone playing while a guitar, bass and drums playing in the background, when later a trumpet joins.",0,GENRE
12,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a woman singing and drums, guitar and bass playing a song, and later a man is singing.",0,VOICE
13,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a saxophone playing and drums, guitar and bass playing a song, and later a woman is singing.",0,INSTR
14,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a saxophone playing and drums, guitar and bass playing a song, and later a trumpet is playing.",0,INSTR
15,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a trumpet playing and drums, guitar and bass playing a song, and later a woman is singing.",0,INSTR
16,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a trumpet playing and drums, guitar and bass playing a song, and later a saxophone is playing.",0,INSTR
17,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a piano playing and drums, guitar and bass playing a song, and later a violin is singing.",0,INSTR
18,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of a metal band playing a sad metal song.,1,GENRE
19,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of electronic music playing a techno song.,1,GENRE
20,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of a country band playing a happy country song.,1,GENRE
21,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of an orchestra playing an epic soundtrack.,1,GENRE
22,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of a heavy metal song.,1,GENRE
23,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of an arcade game soundtrack.,1,GENRE
24,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of a dark techno song.,1,GENRE
25,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of an epic soundtrack.,1,GENRE
26,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of Arabic music.,1,GENRE
27,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of a somber blues song.,1,MOOD
28,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of a dark techno song.,1,GENRE
29,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an upbeat country song.,1,GENRE
30,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an upbeat arcade game soundtrack.,1,GENRE
31,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an upbeat rock song.,1,GENRE
32,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of a catchy Arabic song.,1,GENRE
33,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an dark rock song.,1,GENRE
34,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an cool and slow jazz song.,1,TEMPO
35,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an epic movie soundtrack.,1,GENRE
