,filename,source_captions,target_captions,can_be_used_without_source,edit
178,MusicDelta_ChineseXinJing_MIX.wav,"Arabic and Chinese strings playing a mysterious song, alongside drums and Chinese flutes.","Guitars playing a rock song, alongside drums and bass.",1,GENRE
469,MusicDelta_ModalJazz_MIX.wav,A recording of an old upbeat cool jazz song.,A recording of an old upbeat cool Arabic song.,1,GENRE
402,MusicDelta_Grunge_MIX.wav,"A grunge rock song of a man singing while an electric guitar, bass and drums are playing in the background.","A rap song of a man rapping while an electric guitar, bass and drums are playing in the background.",0,GENRE
101,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy grunge rock music.,1,GENRE
122,MusicDelta_ChineseDrama_MIX.wav,"Chinese strings, flutes, and harp playing an epic dramatic song.","Strings, flutes, and harp playing an epic dramatic song.",0,GENRE
618,MusicDelta_SpeedMetal_MIX.wav,A recording of a cool metal song.,A recording of a cool movie soundtrack.,1,GENRE
124,MusicDelta_ChineseDrama_MIX.wav,A recording of Chinese instruments playing.,A recording of Hindu instruments playing.,1,GENRE
264,MusicDelta_Disco_MIX.wav,A recording of an upbeat disco song.,A recording of an upbeat techno song.,1,GENRE
250,MusicDelta_Country2_MIX.wav,"A woman is singing a country song with a guitar, bass and drums playing in the background.","A man is singing a rock song with a guitar, bass and drums playing in the background.",0,GENRE
623,MusicDelta_SpeedMetal_MIX.wav,"A metal song with an electric guitar, bass and drums playing.","A jazz song with a trumpet, bass and drums playing.",0,GENRE
20,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of a country band playing a happy country song.,1,GENRE
675,MusicDelta_Zeppelin_MIX.wav,A recording of a hard rock song.,A recording of a jazz song.,1,GENRE
160,MusicDelta_ChineseJiangNan_MIX.wav,"Chinese strings, flutes, and harp playing a happy village Chinese song.","Arabic strings, flutes, and harp playing a happy village Arabic song.",0,GENRE
120,MusicDelta_ChineseDrama_MIX.wav,A recording of a dramatic epic Chinese piece.,A recording of upbeat pop music.,1,GENRE
641,MusicDelta_SwingJazz_MIX.wav,"A jazz song with a saxophone, piano, bass and drums playing.","A metal song with a guitar, piano, bass and drums playing.",0,GENRE
323,MusicDelta_FusionJazz_MIX.wav,A recording of a slow cool jazz song.,A recording of a slow cool metal song.,1,GENRE
79,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of a hip hop song.,1,GENRE
464,MusicDelta_ModalJazz_MIX.wav,A recording of an old upbeat cool jazz song.,A recording of an old upbeat cool country song.,1,GENRE
483,MusicDelta_Pachelbel_MIX.wav,A recording of an emotional classical music piece that fits weddings.,A recording of an emotional Chinese music piece that fits weddings.,1,GENRE
345,MusicDelta_Gospel_MIX.wav,A recording of an upbeat gospel song.,A recording of an upbeat techno song.,1,GENRE
26,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of Arabic music.,1,GENRE
417,MusicDelta_Hendrix_MIX.wav,"A rock song of a man singing while a guitar, bass and drums are playing in the background.","A death metal song of a man singing while a guitar, bass and drums are playing in the background.",0,GENRE
573,MusicDelta_Rockabilly_MIX.wav,A recording of an old rock song.,A recording of an old country song.,1,GENRE
0,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of a heavy metal song.,1,GENRE
165,MusicDelta_ChineseJiangNan_MIX.wav,A high quality recording of Chinese instruments playing.,A high quality recording of an orchestra playing.,1,GENRE
625,MusicDelta_SpeedMetal_MIX.wav,"A metal song with an electric guitar, bass and drums playing.","A classical song with a violin, bass and drums playing.",0,GENRE
130,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy movie soundtrack.,1,GENRE
60,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,A string section playing classical music.,1,GENRE
397,MusicDelta_Grunge_MIX.wav,A recording of a grunge rock song.,A recording of a country song.,1,GENRE
512,MusicDelta_Punk_MIX.wav,A recording of an upbeat angry punk song.,A recording of an upbeat cool jazz song.,1,GENRE
139,MusicDelta_ChineseHenan_MIX.wav,"Chinese strings, flutes, and harp playing calm happy Chinese music.","Arabic strings, flutes, and harp playing calm happy Arabic music.",0,GENRE
578,MusicDelta_Rockabilly_MIX.wav,A recording of an old rock song.,A recording of an old Arabic song.,1,GENRE
583,MusicDelta_Rockabilly_MIX.wav,A cool old rock song of a woman singing while a guitar and drums accompany her.,A cool old country song of a woman singing while a guitar and drums accompany her.,0,GENRE
100,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of an arcade game soundtrack.,1,GENRE
129,MusicDelta_ChineseHenan_MIX.wav,A recording of calm happy Chinese music.,A recording of calm happy Arabic music.,1,GENRE
563,MusicDelta_Rock_MIX.wav,"A cool 60s rock song of a man singing while a guitar, bass and drums accompany him.","A cool 80s country song of a woman singing while a banjo, bass and drums accompany her.",0,GENRE
435,MusicDelta_InTheHalloftheMountainKing_MIX.wav,Strings playing a scary classical music melody with flutes and drums accompaniment in the background.,Strings playing a scary death metal melody with trumpets and drums accompaniment in the background.,0,GENRE
305,MusicDelta_FunkJazz_MIX.wav,A recording of a funky jazz song.,A recording of an upbeat arcade game soundtrack.,1,GENRE
554,MusicDelta_Rock_MIX.wav,A recording of an old timey rock song from the sixties.,A recording of a metal song from the nineties.,1,GENRE
205,MusicDelta_CoolJazz_MIX.wav,A recording of a cool calm jazz song.,A recording of a cool calm techno song.,1,GENRE
52,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of a heavy metal song.,1,GENRE
538,MusicDelta_Reggae_MIX.wav,A reggae song of a man singing while bass and drums accompany him.,A jazz song of a man singing while bass and drums accompany him.,0,GENRE
99,MusicDelta_ChineseChaoZhou_MIX.wav,A recording of happy Chinese music.,A recording of happy techno music.,1,GENRE
671,MusicDelta_Vivaldi_MIX.wav,A high quality recording of strings playing a happy song.,A high quality recording of a metal band playing a happy song.,0,GENRE
244,MusicDelta_Country2_MIX.wav,A recording of a country song.,A recording of a techno song.,1,GENRE
127,MusicDelta_ChineseDrama_MIX.wav,A recording of Chinese instruments playing.,A recording of a rock band playing.,1,GENRE
152,MusicDelta_ChineseJiangNan_MIX.wav,A recording of a happy village Chinese song.,A recording of an arcade game soundtrack.,1,GENRE
87,MusicDelta_Britpop_MIX.wav,A high quality recording of a rock band playing an upbeat rock song.,A high quality recording of a string section playing an inspiring classical music piece.,1,GENRE
