,filename,source_captions,target_captions,can_be_used_without_source
0,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of a heavy metal song.,1
1,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of an arcade game soundtrack.,1
2,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of a techno song.,1
3,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of Arabic music.,1
4,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of hip hop music.,1
5,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of an epic soundtrack.,1
6,MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background.","A woman is singing while a guitar, bass and drums playing in the background.",0
7,MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background.","A violin playing while a guitar, bass and drums playing in the background.",0
8,MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background.","A guitar, bass and drums playing in the background.",0
9,MusicDelta_80sRock_MIX.wav,"A man is singing while a guitar, bass and drums playing in the background.","A saxophone playing while a guitar, bass and drums playing in the background.",0
10,MusicDelta_80sRock_MIX.wav,"A high quality recording of a rock song. a man singing while a guitar, bass and drums playing in the background, when later a woman joins.","A high quality recording of a rock song. a woman singing while a guitar, bass and drums playing in the background, when later a man joins.",0
11,MusicDelta_80sRock_MIX.wav,"A high quality recording of a rock song. a man singing while a guitar, bass and drums playing in the background, when later a woman joins.","A high quality recording of a jazz song. a saxophone playing while a guitar, bass and drums playing in the background, when later a trumpet joins.",0
12,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a woman singing and drums, guitar and bass playing a song, and later a man is singing.",0
13,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a saxophone playing and drums, guitar and bass playing a song, and later a woman is singing.",0
14,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a saxophone playing and drums, guitar and bass playing a song, and later a trumpet is playing.",0
15,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a trumpet playing and drums, guitar and bass playing a song, and later a woman is singing.",0
16,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a trumpet playing and drums, guitar and bass playing a song, and later a saxophone is playing.",0
17,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a piano playing and drums, guitar and bass playing a song, and later a violin is singing.",0
18,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of a metal band playing a sad metal song.,1
19,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of electronic music playing a techno song.,1
20,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of a country band playing a happy country song.,1
21,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of an orchestra playing an epic soundtrack.,1
22,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of a heavy metal song.,1
23,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of an arcade game soundtrack.,1
24,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of a dark techno song.,1
25,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of an epic soundtrack.,1
26,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of Arabic music.,1
27,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of a somber blues song.,1
28,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of a dark techno song.,1
29,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an upbeat country song.,1
30,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an upbeat arcade game soundtrack.,1
31,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an upbeat rock song.,1
32,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of a catchy Arabic song.,1
33,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an dark rock song.,1
34,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an cool and slow jazz song.,1
35,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an epic movie soundtrack.,1
36,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with a flute, guitar, piano, bass and drums playing.",0
37,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with a guitar, trumpet, piano, bass and drums playing.",0
38,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with a saxophone, guitar, piano, bass and drums playing.",0
39,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with a saxophone, trumpet, guitar, bass and drums playing.",0
40,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with 2 trumpets, piano, bass and drums playing.",0
41,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A rock song with a guitar, piano, bass and drums playing.",0
42,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a flute, trumpet, piano, bass and drums playing.",0
43,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a saxophone, flute, piano, bass and drums playing.",0
44,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a guitar, trumpet, piano, bass and drums playing.",0
45,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a saxophone, guitar, piano, bass and drums playing.",0
46,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a saxophone, trumpet, guitar, bass and drums playing.",0
47,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a violin, trumpet, piano, bass and drums playing.",0
48,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a saxophone, violin, piano, bass and drums playing.",0
49,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a saxophone, trumpet, violin, bass and drums playing.",0
50,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","strings, bass and drums playing.",0
51,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of an epic movie soundtrack.,1
52,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of a heavy metal song.,1
53,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of a dark techno song.,1
54,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of an angry hip hop beat.,1
55,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of a funky jazz song.,1
56,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of an emotional Arabic song.,1
57,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of an upbeat country song.,1
58,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of a rock song.,1
59,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,An orchestra playing an epic movie soundtrack score. You can hear flutes and strings.,0
60,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,A string section playing classical music.,1
61,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,A rock band playing rock music. You can hear guitars and a piano.,0
