,filename,source_captions,target_captions,can_be_used_without_source,edit
1,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of an arcade game soundtrack.,1,GENRE
2,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of a techno song.,1,GENRE
5,MusicDelta_80sRock_MIX.wav,A recording of a rock song.,A recording of an epic soundtrack.,1,GENRE
14,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a saxophone playing and drums, guitar and bass playing a song, and later a trumpet is playing.",0,INSTR
16,MusicDelta_Beatles_MIX.wav,"A high quality recording of a man singing and drums, guitar and bass playing a song, and later a woman is singing.","A high quality recording of a trumpet playing and drums, guitar and bass playing a song, and later a saxophone is playing.",0,INSTR
21,MusicDelta_Beatles_MIX.wav,A high quality recording of a rock band playing a happy rock song.,A high quality recording of an orchestra playing an epic soundtrack.,1,GENRE
24,MusicDelta_Beatles_MIX.wav,A recording of an upbeat rock song.,A recording of a dark techno song.,1,GENRE
28,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of a dark techno song.,1,GENRE
29,MusicDelta_BebopJazz_MIX.wav,A recording of an upbeat jazz song.,A recording of an upbeat country song.,1,GENRE
36,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with a flute, guitar, piano, bass and drums playing.",0,INSTR
38,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with a saxophone, guitar, piano, bass and drums playing.",0,INSTR
39,MusicDelta_BebopJazz_MIX.wav,"A jazz song with a saxophone, trumpet, piano, bass and drums playing.","A jazz song with a saxophone, trumpet, guitar, bass and drums playing.",0,INSTR
46,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a saxophone, trumpet, guitar, bass and drums playing.",0,INSTR
49,MusicDelta_BebopJazz_MIX.wav,"a saxophone, trumpet, piano, bass and drums playing.","a saxophone, trumpet, violin, bass and drums playing.",0,INSTR
51,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of an epic movie soundtrack.,1,GENRE
53,MusicDelta_Beethoven_MIX.wav,A recording of a calm classical music piece.,A recording of a dark techno song.,1,GENRE
61,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,A rock band playing rock music. You can hear guitars and a piano.,0,GENRE
64,MusicDelta_Beethoven_MIX.wav,An orchestra playing classical music. You can hear flutes and strings.,An orchestra playing classical music. You can hear strings.,0,INSTR
67,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of a piano playing.,0,INSTR
68,MusicDelta_Beethoven_MIX.wav,A high quality recording of wind instruments and strings playing.,A high quality recording of a piano and strings playing.,0,INSTR
72,MusicDelta_Britpop_MIX.wav,A recording of a rock song.,A recording of an arcade game soundtrack.,1,GENRE
